model,dataset,documents,windows,tokens,concepts,tokens_per_concept,source_words,source_words_per_concept,complete_segments,mean_segment_length,p50_segment_length,p90_segment_length,single_token_segment_fraction,max_length_segment_fraction,boundary_eligible_transitions,observed_boundary_rate,learned_boundary_rate,max_forced_boundary_rate,boundary_probability_mean,boundary_probability_at_hard_boundaries,boundary_probability_at_interiors,lm_residual_gate_mean,lm_residual_gate_std,lm_residual_gate_at_boundaries,lm_residual_gate_at_interiors,word_boundary_precision,word_boundary_recall,word_boundary_f1,word_boundary_accuracy,boundary_rate_at_word_starts,boundary_rate_inside_words,boundary_rate_at_syntax_changes,boundary_rate_without_syntax_change,segment_pos_purity,segment_pos_entropy,decoded_nonspace_characters_per_concept,decoded_whitespace_units_per_concept,word_boundary_rate_delta,syntax_change_boundary_delta,boundary_probability_hard_boundary_auc,lm_residual_gate_p10,lm_residual_gate_p50,lm_residual_gate_p90,lm_residual_gate_boundary_probability_correlation,word_boundary_probability_auc,tokens_per_concept_ci_lower,tokens_per_concept_ci_upper,source_words_per_concept_ci_lower,source_words_per_concept_ci_upper,mean_segment_length_ci_lower,mean_segment_length_ci_upper,p50_segment_length_ci_lower,p50_segment_length_ci_upper,p90_segment_length_ci_lower,p90_segment_length_ci_upper,single_token_segment_fraction_ci_lower,single_token_segment_fraction_ci_upper,max_length_segment_fraction_ci_lower,max_length_segment_fraction_ci_upper,observed_boundary_rate_ci_lower,observed_boundary_rate_ci_upper,learned_boundary_rate_ci_lower,learned_boundary_rate_ci_upper,max_forced_boundary_rate_ci_lower,max_forced_boundary_rate_ci_upper,lm_residual_gate_mean_ci_lower,lm_residual_gate_mean_ci_upper,word_boundary_precision_ci_lower,word_boundary_precision_ci_upper,word_boundary_recall_ci_lower,word_boundary_recall_ci_upper,word_boundary_f1_ci_lower,word_boundary_f1_ci_upper,word_boundary_rate_delta_ci_lower,word_boundary_rate_delta_ci_upper,decoded_nonspace_characters_per_concept_ci_lower,decoded_nonspace_characters_per_concept_ci_upper
babyconceptLM-en-DWA-242,eng,2000,2000,481092,84314,5.705956306188771,405821.0,4.813210143036744,81801,5.724330998398552,6.0,6.0,0.0015403234679282648,0.004315350668084742,479092,0.1718125120018702,0.17085653694906197,0.0009559750528082289,0.19068994882629847,0.1962863924169829,0.1895289330251526,0.0003313437890070444,0.004587367802917028,0.0002624271210589839,0.00034701773300766756,0.8481181815972981,0.17279813073471137,0.2871013708995873,0.2763414959965936,0.17279813073471137,0.1665090633032777,,,,,19.956907617266292,4.979168958814684,0.006289067431433676,,0.5628884062611323,4.2946408029820304e-06,4.260232890374027e-05,0.00032268918585032225,-0.09239396693733665,0.5456336138904733,5.699532749603027,5.712201975535716,4.80224642084721,4.824657486011937,5.718277371928572,5.730484737098013,6.0,6.0,6.0,6.0,0.0012820665447529024,0.001802974724377615,0.0030472961277186583,0.005890672216459778,0.17161683149585108,0.17200966627333308,0.1704475819439616,0.17123244097860418,0.0007317687741058776,0.0012247698720347965,0.00019483707665987607,0.000486341209732502,0.8455362943989282,0.8510464106966948,0.17231378466196665,0.17333338347885496,0.2863304407879372,0.2879693775530543,0.0034288713377261704,0.00939616825609538,19.91112714728724,20.001465193764627
babyconceptLM-en-DWA-583,eng,2000,2000,481092,75117,6.404568872558809,405821.0,5.402518737436266,72604,6.463087433199273,8.0,8.0,0.07945843204231172,0.6843975538537822,479092,0.15261578152004207,0.04635017908877627,0.10626560243126582,0.0387159847769693,0.11332278321665085,0.025279134640780875,,,,,0.8361666917406348,0.15132831199304966,0.2562761199347761,0.2593280622510917,0.15132831199304966,0.15954343859462194,,,,,22.534378271169633,5.6135474629496995,-0.008215126601572281,,0.6169787625927502,,,,,0.4483771284695949,6.375957067113752,6.432379561007556,5.3764279102488395,5.430385996857376,6.434973176919829,6.490443656936377,8.0,8.0,8.0,8.0,0.07704624542499722,0.08201358134338607,0.6792229044996689,0.6891316769420148,0.1519249995172682,0.15332916186990236,0.04538624442121688,0.04737749458613609,0.10592217327008789,0.10658340526866313,,,0.8333609249227404,0.8392842780357858,0.15050562845952828,0.15212024747490055,0.25503732091359155,0.2574695919476905,-0.010945946097533145,-0.005467699163078753,22.423389407237817,22.64834948590729
babyconceptLM-en-noDWA-242,eng,2000,2000,481092,82841,5.8074142031119855,405821.0,4.898794075397448,80328,5.825515386913654,6.0,6.0,0.0016806095010457125,0.005689174385021412,479092,0.16873794594775116,0.16744383124744308,0.0012941147003080829,0.1876824855362533,0.19289340760084064,0.18662472022152335,0.0002954617523653811,0.002210629381010488,0.0002591141216357796,0.0003041942718816774,0.8453507502381218,0.1691521723525961,0.28189749407033105,0.27326692994247453,0.1691521723525961,0.1665090633032777,,,,,20.308012150184243,5.067498257145703,0.002643109049318415,,0.5587424198624836,8.023126056855292e-08,3.2154774771697703e-06,0.000273401846061461,0.02068722432752188,0.542973538022562,5.800510785804809,5.81331501675026,4.8872386701562505,4.9105252014494845,5.818916000000307,5.8312639712789185,6.0,6.0,6.0,6.0,0.00139650539469326,0.0019839307845907314,0.004310863110974318,0.007285549260748357,0.16856313043683946,0.16894141975994434,0.16701977220434636,0.1678423181567522,0.0010495678790883166,0.001563305805744535,0.00028451969550788816,0.0003065613147033478,0.8426393238776843,0.8482412843614677,0.1686976852409826,0.16963567546924832,0.28117671123403826,0.2826889888482053,1.483063502633224e-05,0.005311560738726697,20.261458974764306,20.356325755833563
babyconceptLM-en-noDWA-583,eng,2000,2000,481092,81383,5.911455709423344,405821.0,4.986557389135323,78870,5.948231266641309,8.0,8.0,0.09942944085203499,0.5702421706605807,479092,0.16569468912025248,0.06926227112955341,0.09643241799069907,0.054057573374500546,0.14728335094696982,0.03554274887429975,,,,,0.8334656034667373,0.16376615372429823,0.27374470409108964,0.26722633648652033,0.16376615372429823,0.17607181385932902,,,,,20.739241790287814,5.1819830100164825,-0.012305660135030788,,0.6578692799901288,,,,,0.4483636320399728,5.880895212840219,5.941764626658208,4.955655319132075,5.0167553633232815,5.916936624668147,5.978889075370176,8.0,8.0,8.0,8.0,0.09672039478553805,0.1021235718579374,0.5646018718386254,0.5759361906671817,0.1648073040943104,0.16659223505640455,0.0679510176601556,0.07059788358237513,0.09598603885307906,0.09686512293485001,,,0.8306561707321259,0.8363985403127924,0.16281630018704987,0.16476388784153895,0.27232224981670705,0.27516670664409143,-0.015027377882047005,-0.009489400305714341,20.617012469502548,20.86653695295894
