exposure_words,strict_noDWA-242_blimp,strict_noDWA-242_supplement,strict_noDWA-242_ewok,strict_noDWA-242_entity_tracking,strict_noDWA-242_global_piqa,strict_noDWA-242_reading,strict_noDWA-242_fast_macro,strict_DWA-242_blimp,strict_DWA-242_supplement,strict_DWA-242_ewok,strict_DWA-242_entity_tracking,strict_DWA-242_global_piqa,strict_DWA-242_reading,strict_DWA-242_fast_macro,strict_noDWA-583_blimp,strict_noDWA-583_supplement,strict_noDWA-583_ewok,strict_noDWA-583_entity_tracking,strict_noDWA-583_global_piqa,strict_noDWA-583_reading,strict_noDWA-583_fast_macro,strict_DWA-583_blimp,strict_DWA-583_supplement,strict_DWA-583_ewok,strict_DWA-583_entity_tracking,strict_DWA-583_global_piqa,strict_DWA-583_reading,strict_DWA-583_fast_macro,multilingual_eng_zero_shot,multilingual_nld_zero_shot,multilingual_zho_zero_shot,multilingual_macro_zero_shot
60000000,55.04,56.0,49.64,17.2,34.71,0.06038861547062533,35.44173143591177,55.09,56.4,49.45,17.39,34.71,0.05834709247633505,35.51639118207939,68.13,63.6,50.45,19.18,35.665,0.22069901020549967,39.54094983503425,67.75,62.4,50.55,16.84,33.225,0.2109525128035034,38.49599208546725,50.20016170894219,48.983715876239444,46.082357178495904,48.42207825455918
70000000,55.48,55.6,48.64,17.02,34.695,0.057827633736196794,35.2488046056227,55.4,54.0,47.55,16.47,34.695,0.056616377062962464,34.69526939617716,69.75,63.6,49.64,18.05,35.65,0.1760631597571552,39.47767719329286,68.86,63.6,51.0,15.17,35.68,0.20408712067914386,39.08568118677986,50.2088422332874,48.71138847944146,46.78087739028382,48.56703603433756
80000000,55.71,56.4,48.09,17.04,34.695,0.05191450603001324,35.33115241767167,55.72,55.6,47.45,16.57,34.195,0.05392853447413,34.931488089079025,69.11,64.0,50.64,15.82,36.15,0.1826880385097475,39.31711467308496,69.4,63.2,50.82,16.58,32.71,0.1934979171908316,38.81724965286514,50.481455129682914,48.69368844320647,46.76303092097051,48.646058164619966
90000000,55.98,56.0,48.82,17.29,33.225,0.05076772414774991,35.227627954024626,55.89,56.0,49.09,17.3,33.225,0.049525342754756264,35.259087557125795,70.2,64.8,50.27,16.61,35.15,0.2041842487178258,39.53903070811964,70.6,64.0,52.45,16.46,34.65,0.26317373326370125,39.73719562221061,50.80362884032438,48.43446602392721,46.79536640685733,48.677820423702975
100000000,56.06,56.4,48.36,17.34,32.71,0.04150227685539402,35.151917046142565,55.87,57.2,50.0,17.52,33.225,0.04395515611722427,35.643159192686205,70.11,63.2,51.45,18.13,35.195,0.16788789492755213,39.70881464915459,70.81,58.4,53.0,17.17,35.165,0.2054502649033175,39.125075044150556,49.777383788997405,48.74815961570101,46.61047028917859,48.37867123129234
200000000,58.05,60.4,50.55,16.64,34.18,0.08266603516699596,36.6504443391945,58.01,59.6,49.91,17.75,34.18,0.08058232634160582,36.5884303877236,72.84,58.4,54.0,16.99,38.62,0.1719564545011896,40.1703260757502,72.56,61.6,54.27,15.14,37.165,0.19995855935130416,40.155826426558555,52.11076008528652,48.81917638046035,48.00275486171468,49.644230442487185
300000000,59.48,60.8,51.27,17.23,37.08,0.12532555960476052,37.66422092660079,59.48,60.0,52.09,16.84,37.09,0.1282338311469207,37.604705638524486,74.33,58.8,52.18,16.89,42.105000000000004,0.15270061481367117,40.742950102468946,74.25,60.0,53.82,15.64,36.12,0.1855195989659464,40.00258659982766,52.4428434252512,49.33056597597837,48.62761174158856,50.13367371427271
400000000,60.12,60.8,49.36,18.19,35.635,0.15327411879410813,37.37637901979902,60.38,60.0,50.55,16.73,38.09,0.149419618207509,37.649903269701255,74.71,60.8,53.18,16.22,41.09,0.17758048145802963,41.02959674690967,75.51,64.4,54.0,14.62,33.665,0.1461802460595048,40.39019670767659,53.18777579959807,50.03281168886424,48.8359245312669,50.6855040065764
500000000,61.04,60.4,49.09,17.78,33.665,0.15844908686682677,37.022241514477805,61.2,60.0,49.0,17.22,37.09,0.16571258017329718,37.44595209669555,75.34,62.0,54.91,15.55,41.12,0.16378900706588276,41.51396483451098,75.43,62.0,52.91,14.98,39.605000000000004,0.12531796128836267,40.84171966021473,53.20890749560898,50.18773125011822,48.63373916303955,50.676792636255584
600000000,61.37,60.4,49.82,17.74,34.65,0.16545361640927436,37.357575602734876,61.33,61.6,49.91,17.14,35.135,0.1693438183069329,37.547390636384485,75.8,62.4,54.09,15.65,38.65,0.17462671853658768,41.12743778642277,76.79,65.2,54.55,14.68,40.065,0.13717418059255101,41.903695696765425,52.999250313201365,50.25466435701368,48.189989285713125,50.48130131864272
700000000,61.56,60.4,50.45,17.87,36.15,0.17055477874307703,37.766759129790515,61.85,60.4,49.73,17.38,35.135,0.17550931005396841,37.445084885008995,75.87,59.6,51.45,16.21,41.135,0.18521814684643745,40.741703024474404,77.04,62.4,52.73,14.69,39.59,0.16886104988593492,41.103143508314325,53.66025103277767,50.51587388568357,48.54237801634526,50.9061676449355
800000000,61.94,59.2,49.45,17.86,36.15,0.1743952356363937,37.4623992059394,62.05,60.8,49.64,17.65,35.15,0.1778125738490694,37.577968762308174,76.01,63.6,53.0,17.54,37.68,0.2086285797912063,41.339771429965204,76.87,62.0,52.64,15.03,39.59,0.15360010048360903,41.04726668341394,53.37487988816421,50.31572081034813,49.048862957183296,50.91315455189854
900000000,62.07,59.2,49.45,17.54,36.18,0.18524756738588383,37.43754126123098,62.07,60.4,50.64,17.53,34.165,0.18543999994481067,37.498406666657466,76.05,62.4,53.36,14.84,39.15,0.23388497859594232,41.00564749643266,76.93,63.2,52.82,13.49,37.12,0.1244234787655804,40.614070579794266,53.410597601460275,50.32638808384012,48.80472417025488,50.84723661851842
1000000000,62.21,59.6,48.73,18.08,35.665,0.18051376717977996,37.41091896119663,62.11,60.4,49.64,17.58,34.165,0.18393963368422114,37.34648993894737,76.07,62.8,54.0,14.85,39.165,0.22010729450256303,41.18418454908376,76.84,64.8,53.64,13.82,37.59,0.13218046451889937,41.137030077419816,53.74703925948799,50.73346804610066,49.52258549281302,51.33436426613389
